protocol_version,candidate_id,dimension_g,polarization_type,discriminant,radius,tangent_dimension,cm_ell_squared,cm_logical_image_order,generic_minimal_image_order,initial_sobol_evaluations,sobol_holdout_evaluations,bayesian_evaluations,sobol_best_ratio,bayesian_best_ratio,overall_best_ratio,overall_best_ell_squared,best_arm,best_direction,counterexample_found,maximum_distance_error,maximum_polarization_residual,maximum_log_volume_residual
phase8-v1-adversarial-tangent-sphere,g3_type_1_1_2_delta_m4_h_1_2_2_0_0_0_0_m1_m1,3,"[1, 1, 2]",-4,0.005,12,1.0,6,1,32,32,32,0.998134720728343,0.9985205734200521,0.9985205734200521,0.9985205734200521,bayesian_ucb,"[-0.09879996494144275, 0.006080499780157654, -0.23360515626817402, -0.02401350061841571, 0.05560220765363417, 0.0650220497166395, -0.016795989996737457, 0.26479291480633044, 0.43315335377812686, -0.8178979372452012, -0.014577979674607939, 0.023352314991512857]",False,1.862676853037204e-11,8.881784197001252e-16,1.5543122344752192e-15
phase8-v1-adversarial-tangent-sphere,g3_type_1_1_2_delta_m4_h_1_2_2_0_0_0_0_m1_m1,3,"[1, 1, 2]",-4,0.01,12,1.0,6,1,32,32,32,0.9971474903981782,0.9974179731885833,0.9974179731885833,0.9974179731885833,bayesian_ucb,"[0.15816010161363128, 0.055898489680826134, 0.42565359026496025, 0.49145981686385876, 0.31325051767711765, 0.2832620555880364, 0.0003456514881795369, -0.03277001622309253, -0.4128051493662562, -0.41742255694518865, -0.09755574687116791, 0.12467129611485374]",False,1.8626865674886695e-11,8.881784197001252e-16,1.7763568394002505e-15
phase8-v1-adversarial-tangent-sphere,g3_type_1_1_2_delta_m4_h_1_2_2_0_0_0_0_m1_m1,3,"[1, 1, 2]",-4,0.02,12,1.0,6,1,32,32,32,0.9931335316887631,0.9921547832315086,0.9931335316887631,0.9931335316887631,sobol_holdout,"[-0.21856165217555604, -0.0004360435269772266, 0.1497913729668125, -0.4059184742462064, 0.3244853704595929, 0.4667875574795803, -0.017188468628928286, -0.0010738651592347886, -0.24520240392276205, 0.6022608264110582, 0.11779797742462417, -0.06947437952424719]",False,1.8626700876156477e-11,8.881784197001252e-16,1.5543122344752192e-15
phase8-v1-adversarial-tangent-sphere,g3_type_1_1_2_delta_m4_h_1_2_2_0_0_0_0_m1_m1,3,"[1, 1, 2]",-4,0.05,12,1.0,6,1,32,32,32,0.9812927833128591,0.9865189206188367,0.9865189206188367,0.9865189206188367,bayesian_ucb,"[-0.04683062168863106, 0.012246984563310363, 0.16038982702515173, -0.7125786475025415, 0.37814799456442, -0.4810646790159763, 0.07460646313331186, -0.20936525484532723, -0.12416427386506097, 0.07416720180066118, -0.014852417764681184, -0.13858743898084872]",False,1.1641951291885277e-11,8.881784197001252e-16,1.9984014443252818e-15
phase8-v1-adversarial-tangent-sphere,g3_type_1_1_2_delta_m4_h_1_2_2_0_0_0_0_m1_m1,3,"[1, 1, 2]",-4,0.1,12,1.0,6,1,32,32,32,0.9585190155178337,0.9852593205205783,0.9852593205205783,0.9852593205205783,bayesian_ucb,"[0.07746591123084384, 0.07197850340599056, 0.24538016529382753, -0.11525861092911915, 0.13857350276749336, -0.18818433239920895, -0.042063124396050366, 0.04767251303957925, -0.9034713230103623, 0.1794994529673096, -0.08758391563639834, 0.02264495026615058]",False,1.1641909658521854e-11,6.661338147750939e-16,1.7763568394002505e-15
phase8-v1-adversarial-tangent-sphere,g3_type_1_1_3_delta_m3_h_2_2_2_m1_0_m1_0_0_1,3,"[1, 1, 3]",-3,0.005,12,1.1547005383792517,24,2,32,32,32,0.9961174334452565,0.9960656226442941,0.9961174334452565,1.150217336688196,sobol_holdout,"[0.3207914819717299, 0.375072576196174, -0.016112783812044444, 0.0936957154143139, 0.2880501293624038, -0.2575021470043097, -0.6390216314943628, -0.03330246383926437, 0.305352973555165, -0.038836898197910585, 0.22329655339561374, -0.20982576714690476]",False,1.9791084569786843e-11,8.881784197001252e-16,3.1086244689504383e-15
phase8-v1-adversarial-tangent-sphere,g3_type_1_1_3_delta_m3_h_2_2_2_m1_0_m1_0_0_1,3,"[1, 1, 3]",-3,0.01,12,1.1547005383792517,24,2,32,32,32,0.9925105540537353,0.9931938083669121,0.9931938083669121,1.1468414252362127,bayesian_ucb,"[-0.0359796564324429, 0.055562323129323535, -0.020275366970443343, 0.22829575385733472, 0.05771740328487065, 0.002600282686397337, -0.06378441164694847, -0.38985591499317956, 0.33472698324677663, -0.17793940967422311, -0.7149987239290008, 0.35884027512430733]",False,1.9218173927249005e-11,8.881784197001252e-16,2.6645352591003757e-15
phase8-v1-adversarial-tangent-sphere,g3_type_1_1_3_delta_m3_h_2_2_2_m1_0_m1_0_0_1,3,"[1, 1, 3]",-3,0.02,12,1.1547005383792517,24,2,32,32,32,0.9853388300176589,0.9853476878333519,0.9853476878333519,1.1377815056319223,bayesian_ucb,"[0.340569797969139, -0.05450478386232995, 0.17570699472458032, 0.25558163339533235, 0.17449625116811648, -0.5439325976670937, 0.20749662924384238, -0.47457085433373725, -0.21701762997999363, -0.2747584595323162, -0.1860063223121802, 0.18186629090954412]",False,1.990463349699212e-11,8.881784197001252e-16,3.552713678800501e-15
phase8-v1-adversarial-tangent-sphere,g3_type_1_1_3_delta_m3_h_2_2_2_m1_0_m1_0_0_1,3,"[1, 1, 3]",-3,0.05,12,1.1547005383792517,24,2,32,32,32,0.9648492279023133,0.964120883935143,0.9648492279023133,1.1141119229136065,sobol_holdout,"[-0.05777737331835039, -0.25469771341092956, 0.43477521157756727, 0.1866812180572923, -0.2641799876445093, -0.07359289958394034, -0.3528524882706198, 0.4352362270344562, -0.11995265339129484, -0.141241688704393, 0.27942630861388984, -0.45425999159705455]",False,1.9947939133846404e-11,8.881784197001252e-16,3.552713678800501e-15
phase8-v1-adversarial-tangent-sphere,g3_type_1_1_3_delta_m3_h_2_2_2_m1_0_m1_0_0_1,3,"[1, 1, 3]",-3,0.1,12,1.1547005383792517,24,2,32,32,32,0.934788325481724,0.934788325481724,0.934788325481724,1.0794005827043858,shared_sobol,"[0.222618111433626, 0.5599925378257576, -0.12462070075556855, -0.16463670082164922, -0.24744087118727306, 0.6076051902192878, -0.1431510362456434, 0.02390139716365196, -0.2856683679234444, 0.08722777414370345, -0.18546985425174997, 0.13829409241454382]",False,1.9482665480907713e-11,8.881784197001252e-16,3.552713678800501e-15
