protocol_version,candidate_id,dimension_g,polarization_type,discriminant,radius,tangent_dimension,cm_ell_squared,logical_image_order,polarized_automorphism_order,generic_minimal_image_order,tau,sobol_best_retention,bayesian_best_retention,sobol_worst_retention,bayesian_worst_retention,overall_best_retention,overall_worst_retention,best_retention_ell_ratio,worst_retention_ell_ratio,best_retention_exact_action_count,worst_retention_exact_action_count,best_retention_exact_enhanced_action_count,worst_retention_exact_enhanced_action_count,best_retention_epsilon_counts,worst_retention_epsilon_counts,best_retention_enhanced_epsilon_counts,worst_retention_enhanced_epsilon_counts,best_retention_arm,worst_retention_arm,best_retention_direction,worst_retention_direction,maximum_distance_error,maximum_polarization_residual,maximum_log_volume_residual
phase9-v1-radial-passive-gate-robustness,g3_type_1_1_2_delta_m4_h_1_2_2_0_0_0_0_m1_m1,3,"[1, 1, 2]",-4,0.005,12,1.0,6,384,1,0.02,0.9750004463411264,0.9873623944623956,0.9047259598066036,0.9106874876122137,0.9873623944623956,0.9047259598066036,0.9986337003108985,0.9943526949323972,1,1,0,0,"{""1e-08"": 1, ""0.0025"": 5, ""0.005"": 6, ""0.01"": 6, ""0.02"": 6, ""0.05"": 6, ""0.1"": 6}","{""1e-08"": 1, ""0.0025"": 1, ""0.005"": 1, ""0.01"": 6, ""0.02"": 6, ""0.05"": 6, ""0.1"": 6}","{""1e-08"": 0, ""0.0025"": 4, ""0.005"": 5, ""0.01"": 5, ""0.02"": 5, ""0.05"": 5, ""0.1"": 5}","{""1e-08"": 0, ""0.0025"": 0, ""0.005"": 0, ""0.01"": 5, ""0.02"": 5, ""0.05"": 5, ""0.1"": 5}",bayesian_best_retention,sobol_holdout,"[0.03481229237799243, 0.028872612926558797, 0.3281251101604925, -0.04183706684825584, -0.8442055840596532, -0.17541446654750528, -0.0823302524686226, -0.08885888897198795, -0.15645858202487292, -0.23845048234601626, -0.2016118134836159, -0.09178959000299715]","[0.12700624612824624, 0.35386561737475813, -0.14538671528105154, 0.04053640785174733, -0.0329000220199567, -0.04213117036351909, -0.31860400822974744, 0.7549061554566183, 0.015478206715275082, 0.15062617793036578, 0.30266215063121893, 0.21699442063206084]",1.8626922920761402e-11,8.881784197001252e-16,1.7763568394002505e-15
phase9-v1-radial-passive-gate-robustness,g3_type_1_1_2_delta_m4_h_1_2_2_0_0_0_0_m1_m1,3,"[1, 1, 2]",-4,0.01,12,1.0,6,384,1,0.02,0.8879926974855904,0.9439182041346534,0.7233385124434399,0.6859152700794177,0.9439182041346534,0.6859152700794177,0.9964644130670511,0.9889868203038417,1,1,0,0,"{""1e-08"": 1, ""0.0025"": 1, ""0.005"": 5, ""0.01"": 6, ""0.02"": 6, ""0.05"": 6, ""0.1"": 6}","{""1e-08"": 1, ""0.0025"": 1, ""0.005"": 1, ""0.01"": 1, ""0.02"": 6, ""0.05"": 6, ""0.1"": 6}","{""1e-08"": 0, ""0.0025"": 0, ""0.005"": 4, ""0.01"": 5, ""0.02"": 5, ""0.05"": 5, ""0.1"": 5}","{""1e-08"": 0, ""0.0025"": 0, ""0.005"": 0, ""0.01"": 0, ""0.02"": 5, ""0.05"": 5, ""0.1"": 5}",bayesian_best_retention,bayesian_worst_retention,"[-0.09365832525292839, 0.12065160036243469, 0.18502329215697574, -0.1902519076046717, -0.4737319926363113, -0.7077414659196478, 0.039443455693700995, -0.18668227062952703, -0.03823177208742062, 0.3065372255384072, 0.1771343271449284, -0.1330885185447773]","[0.4342176625020734, 0.050046162929206536, -0.36112701822700755, -0.06698708578235262, 0.01631846432334429, 0.2024869565612577, 0.664408790072629, 0.1052046344098001, 0.07030666254318693, -0.2649388571855703, 0.267331199140452, 0.18350613077262626]",1.862678934705375e-11,8.881784197001252e-16,1.7763568394002505e-15
phase9-v1-radial-passive-gate-robustness,g3_type_1_1_2_delta_m4_h_1_2_2_0_0_0_0_m1_m1,3,"[1, 1, 2]",-4,0.02,12,1.0,6,384,1,0.02,0.6599011061643665,0.7642187379834516,0.27610315467636704,0.25349523579042604,0.7642187379834516,0.25349523579042604,0.9920338441259514,0.9801885922891499,1,1,0,0,"{""1e-08"": 1, ""0.0025"": 1, ""0.005"": 1, ""0.01"": 3, ""0.02"": 6, ""0.05"": 6, ""0.1"": 6}","{""1e-08"": 1, ""0.0025"": 1, ""0.005"": 1, ""0.01"": 1, ""0.02"": 2, ""0.05"": 6, ""0.1"": 6}","{""1e-08"": 0, ""0.0025"": 0, ""0.005"": 0, ""0.01"": 2, ""0.02"": 5, ""0.05"": 5, ""0.1"": 5}","{""1e-08"": 0, ""0.0025"": 0, ""0.005"": 0, ""0.01"": 0, ""0.02"": 1, ""0.05"": 5, ""0.1"": 5}",bayesian_best_retention,bayesian_worst_retention,"[-0.03877087216209859, -0.012056552903591417, 0.36899678918832807, 0.17417075227546702, -0.30538384739992125, -0.7932163986617214, -0.11726399875165018, 0.21561437655280846, 0.09939957256553437, -0.020715776893018206, -0.19375345450190365, -0.03627125468369535]","[-0.3061647356075111, 0.18762232497963482, -0.05889960209741139, 0.31601776688772926, -0.030532217280568295, -0.1381951458936106, 0.11163183347672405, 0.012007284418893817, -0.06979636168620756, -0.2189375594142075, 0.6968573635567942, -0.44347863284306693]",1.8626756387307708e-11,6.661338147750939e-16,1.9984014443252818e-15
phase9-v1-radial-passive-gate-robustness,g3_type_1_1_2_delta_m4_h_1_2_2_0_0_0_0_m1_m1,3,"[1, 1, 2]",-4,0.05,12,1.0,6,384,1,0.02,0.07270482081258366,0.1669653525058836,0.00029081086441985727,0.00012515840702843954,0.1669653525058836,0.00012515840702843954,0.9715807306877308,0.9535485895765781,1,1,0,0,"{""1e-08"": 1, ""0.0025"": 1, ""0.005"": 1, ""0.01"": 1, ""0.02"": 1, ""0.05"": 6, ""0.1"": 6}","{""1e-08"": 1, ""0.0025"": 1, ""0.005"": 1, ""0.01"": 1, ""0.02"": 1, ""0.05"": 1, ""0.1"": 6}","{""1e-08"": 0, ""0.0025"": 0, ""0.005"": 0, ""0.01"": 0, ""0.02"": 0, ""0.05"": 5, ""0.1"": 5}","{""1e-08"": 0, ""0.0025"": 0, ""0.005"": 0, ""0.01"": 0, ""0.02"": 0, ""0.05"": 0, ""0.1"": 5}",bayesian_best_retention,bayesian_worst_retention,"[0.00826800227051096, 0.08402100092350502, 0.08118100435706627, 0.0047783798800451185, -0.5025909462857479, 0.6926621833621001, 0.2932847586944301, 0.07424419814053185, -0.07591969024317703, 0.2042069385045978, 0.16824987863621962, 0.2942446570629421]","[-0.4484246807926145, 0.42366392027174116, 0.27566804924351573, -0.19370151493119064, 0.07870509555619551, -0.16732856588441022, 0.13779290947412412, 0.5004875479295073, -0.11643057553649187, 0.04299888956722052, -0.3982367446975409, 0.16806408671489767]",1.1641833330688911e-11,8.881784197001252e-16,1.5543122344752192e-15
phase9-v1-radial-passive-gate-robustness,g3_type_1_1_2_delta_m4_h_1_2_2_0_0_0_0_m1_m1,3,"[1, 1, 2]",-4,0.1,12,1.0,6,384,1,0.02,0.0016690580027695766,0.003299975552638606,1.5019357099938747e-13,6.118096624693059e-14,0.004033988058627322,6.118096624693059e-14,0.9248018610283608,0.9120120589632026,1,1,0,0,"{""1e-08"": 1, ""0.0025"": 1, ""0.005"": 1, ""0.01"": 1, ""0.02"": 1, ""0.05"": 2, ""0.1"": 5}","{""1e-08"": 1, ""0.0025"": 1, ""0.005"": 1, ""0.01"": 1, ""0.02"": 1, ""0.05"": 1, ""0.1"": 1}","{""1e-08"": 0, ""0.0025"": 0, ""0.005"": 0, ""0.01"": 0, ""0.02"": 0, ""0.05"": 1, ""0.1"": 4}","{""1e-08"": 0, ""0.0025"": 0, ""0.005"": 0, ""0.01"": 0, ""0.02"": 0, ""0.05"": 0, ""0.1"": 0}",bayesian_worst_retention,bayesian_worst_retention,"[-0.1250483879333102, 0.31562973635055575, -0.3659053053894968, -0.019409965560530474, 0.06142861334330027, 0.40767222110294804, -0.33791265511301793, 0.11756504217890218, 0.5284456937945724, -0.28310865994610124, 0.04865699791860384, 0.30121063532686554]","[0.495850076945477, 0.2989201372171341, -0.45589434589167493, 0.18871764903323507, -0.1397430491101743, -0.09651977304104487, -0.3901416800169544, 0.10079339727680206, 0.10155018733431996, -0.11197527300698769, 0.4390881724011051, 0.12025845437183694]",1.1641992925248701e-11,8.881784197001252e-16,1.5543122344752192e-15
phase9-v1-radial-passive-gate-robustness,g3_type_1_1_3_delta_m3_h_2_2_2_m1_0_m1_0_0_1,3,"[1, 1, 3]",-3,0.005,12,1.1547005383792517,24,1296,2,0.02,0.9597308026881272,0.979778422971449,0.9385044545486051,0.937542023363239,0.979778422971449,0.937542023363239,0.9948942570726651,0.9932849539065065,2,2,0,0,"{""1e-08"": 2, ""0.0025"": 6, ""0.005"": 24, ""0.01"": 24, ""0.02"": 24, ""0.05"": 24, ""0.1"": 24}","{""1e-08"": 2, ""0.0025"": 2, ""0.005"": 10, ""0.01"": 24, ""0.02"": 24, ""0.05"": 24, ""0.1"": 24}","{""1e-08"": 0, ""0.0025"": 4, ""0.005"": 22, ""0.01"": 22, ""0.02"": 22, ""0.05"": 22, ""0.1"": 22}","{""1e-08"": 0, ""0.0025"": 0, ""0.005"": 8, ""0.01"": 22, ""0.02"": 22, ""0.05"": 22, ""0.1"": 22}",bayesian_best_retention,bayesian_worst_retention,"[-0.07158591716621991, 0.36178580568845214, -0.01720683678647098, 0.49311357215652135, -0.23614446185141802, 0.5328956671127619, 0.27961326536296893, -0.3502881619910092, 0.17956500784509868, -0.05496070442023254, -0.20227226287495506, 0.061022160718064176]","[0.3325012421351952, -0.10799750241818352, 0.052293340711663736, 0.1789019105703365, -0.035087472311387556, -0.05573617549403301, -0.0006787599098980121, 0.703111260434993, 0.006388079516331158, -0.567082231019601, -0.12944601466358854, 0.07717567047793766]",1.9993769660719973e-11,8.881784197001252e-16,3.9968028886505635e-15
phase9-v1-radial-passive-gate-robustness,g3_type_1_1_3_delta_m3_h_2_2_2_m1_0_m1_0_0_1,3,"[1, 1, 3]",-3,0.01,12,1.1547005383792517,24,1296,2,0.02,0.9088065578932127,0.9114265101242761,0.7699761970296808,0.7706361163705145,0.9200147963108102,0.7699761970296808,0.9924816022768332,0.988469485806275,2,2,0,0,"{""1e-08"": 2, ""0.0025"": 2, ""0.005"": 6, ""0.01"": 24, ""0.02"": 24, ""0.05"": 24, ""0.1"": 24}","{""1e-08"": 2, ""0.0025"": 2, ""0.005"": 2, ""0.01"": 10, ""0.02"": 24, ""0.05"": 24, ""0.1"": 24}","{""1e-08"": 0, ""0.0025"": 0, ""0.005"": 4, ""0.01"": 22, ""0.02"": 22, ""0.05"": 22, ""0.1"": 22}","{""1e-08"": 0, ""0.0025"": 0, ""0.005"": 0, ""0.01"": 8, ""0.02"": 22, ""0.05"": 22, ""0.1"": 22}",bayesian_worst_retention,sobol_holdout,"[0.2644521599581025, 0.5994989317209042, -0.31560584274881337, 0.028408251727835444, -0.46100650355831163, -0.30515365120199733, 0.2760661217537467, -0.2328592700616457, -0.07039734062302798, 0.08313713199198358, -0.023771677209596647, -0.14743696245106575]","[-0.32335935878592376, 0.08056051227061437, 0.15137552533651896, -0.5709255500873935, -0.06089202771145399, 0.3292534994145128, 0.20025513189181723, 0.31192611291521993, -0.2428824261165176, 0.1481488494040157, 0.05322842774375235, -0.4547408622894787]",1.9997892231060632e-11,8.881784197001252e-16,3.1086244689504383e-15
phase9-v1-radial-passive-gate-robustness,g3_type_1_1_3_delta_m3_h_2_2_2_m1_0_m1_0_0_1,3,"[1, 1, 3]",-3,0.02,12,1.1547005383792517,24,1296,2,0.02,0.6845600042075952,0.6309344241836164,0.33564137749699685,0.3510191198192875,0.6912107766609114,0.33564137749699685,0.9879838798201913,0.9771132483493707,2,2,0,0,"{""1e-08"": 2, ""0.0025"": 2, ""0.005"": 2, ""0.01"": 8, ""0.02"": 24, ""0.05"": 24, ""0.1"": 24}","{""1e-08"": 2, ""0.0025"": 2, ""0.005"": 2, ""0.01"": 2, ""0.02"": 10, ""0.05"": 24, ""0.1"": 24}","{""1e-08"": 0, ""0.0025"": 0, ""0.005"": 0, ""0.01"": 6, ""0.02"": 22, ""0.05"": 22, ""0.1"": 22}","{""1e-08"": 0, ""0.0025"": 0, ""0.005"": 0, ""0.01"": 0, ""0.02"": 8, ""0.05"": 22, ""0.1"": 22}",bayesian_worst_retention,sobol_holdout,"[0.11278819935393326, 0.4424760211922002, 0.5685370736717384, -0.03301005577158164, -0.1220044827616726, -0.21877700148338683, -0.44975981541728577, 0.3460850509067806, -0.03730615005509177, -0.07660011356764504, 0.2552981379025261, -0.09962948946370799]","[0.5489404043775136, -0.3275282870627494, -0.18037049611209646, 0.2434495855065473, -0.30598906729518155, -0.1610556562026308, -0.21367186430605542, -0.008676038531348016, -0.11871887318412642, 0.22221285347460923, 0.4891207543636018, 0.1777003901972252]",1.9706344195347114e-11,8.881784197001252e-16,3.1086244689504383e-15
phase9-v1-radial-passive-gate-robustness,g3_type_1_1_3_delta_m3_h_2_2_2_m1_0_m1_0_0_1,3,"[1, 1, 3]",-3,0.05,12,1.1547005383792517,24,1296,2,0.02,0.1174877417118986,0.12404678687571015,0.0035609339873075643,0.0030095058333831316,0.12404678687571015,0.0030095058333831316,0.9544360623586409,0.9567920036541366,2,2,0,0,"{""1e-08"": 2, ""0.0025"": 2, ""0.005"": 2, ""0.01"": 2, ""0.02"": 6, ""0.05"": 24, ""0.1"": 24}","{""1e-08"": 2, ""0.0025"": 2, ""0.005"": 2, ""0.01"": 2, ""0.02"": 2, ""0.05"": 18, ""0.1"": 24}","{""1e-08"": 0, ""0.0025"": 0, ""0.005"": 0, ""0.01"": 0, ""0.02"": 4, ""0.05"": 22, ""0.1"": 22}","{""1e-08"": 0, ""0.0025"": 0, ""0.005"": 0, ""0.01"": 0, ""0.02"": 0, ""0.05"": 16, ""0.1"": 22}",bayesian_best_retention,bayesian_worst_retention,"[-0.023683742649455074, 0.049146469192586105, -0.15364212993405554, 0.021461482630229775, 0.12844686508092995, 0.0979723260376964, -0.12991780530562672, -0.0988109378045502, -0.4148069539032772, 0.5269442523358573, 0.11402952639885693, -0.6763726836752031]","[-0.23889013156694616, 0.1428721805950185, 0.22237780709669788, -0.2544432391926521, -0.19709044937453035, -0.13956332692924284, -0.023287594016355908, 0.38551130159259694, 0.5422712268883672, 0.1341355906852201, 0.2285460686067523, -0.4863724963111854]",1.9985360588670176e-11,8.881784197001252e-16,3.552713678800501e-15
phase9-v1-radial-passive-gate-robustness,g3_type_1_1_3_delta_m3_h_2_2_2_m1_0_m1_0_0_1,3,"[1, 1, 3]",-3,0.1,12,1.1547005383792517,24,1296,2,0.02,0.0038123987753640575,0.0037505274790575805,6.141925015029955e-10,8.009006693424206e-10,0.0038123987753640575,6.141925015029955e-10,0.9187312006316539,0.8856966156678163,2,2,0,0,"{""1e-08"": 2, ""0.0025"": 2, ""0.005"": 2, ""0.01"": 2, ""0.02"": 2, ""0.05"": 6, ""0.1"": 12}","{""1e-08"": 2, ""0.0025"": 2, ""0.005"": 2, ""0.01"": 2, ""0.02"": 2, ""0.05"": 2, ""0.1"": 18}","{""1e-08"": 0, ""0.0025"": 0, ""0.005"": 0, ""0.01"": 0, ""0.02"": 0, ""0.05"": 4, ""0.1"": 10}","{""1e-08"": 0, ""0.0025"": 0, ""0.005"": 0, ""0.01"": 0, ""0.02"": 0, ""0.05"": 0, ""0.1"": 16}",sobol_holdout,sobol_holdout,"[0.2760283698350745, 0.5278667720613758, 0.1598060065580582, -0.22976191723368306, -0.09938006039277787, 0.04302877647460323, -0.232466199423152, 0.05011265181236292, 0.17796355805936953, 0.6643942116026683, -0.14114709229288233, -0.07445555608052608]","[0.12853633376846682, -0.19830617479480062, -0.07689526843114469, 0.03581806385630275, -0.47398506603047313, 0.5803376370557698, 0.08416760562833524, 0.2841952555762076, 0.09522120368588523, 0.07579564428411437, -0.09914289076104033, -0.5128461181379809]",1.99646271736853e-11,8.881784197001252e-16,3.552713678800501e-15
